time,x,y,z,Vx,Vy,Vz
0.0,7037484.001334377,3238059.0179219963,2150724.1875025737,-1465.6576272424472,-40.958394892935985,6622.797609422496
10.0,7022557.694912252,3237525.25143683,2216868.6575077916,-1519.5686224123015,-65.78687183469698,6606.016653223121
20.0,7007093.333853245,3236743.4433450103,2282842.9303413834,-1573.268128720999,-90.56649127053244,6588.758630944703
30.0,6991093.045774542,3235714.0889488803,2348642.2490136013,-1626.7536052875969,-115.29590987511975,6571.026276339411
40.0,6974558.983557882,3234437.6969203884,2414261.8838581406,-1680.0225400057113,-139.97379702298153,6552.822320305206
50.0,6957493.325064115,3232914.789174985,2479697.1325024553,-1733.0724490829818,-164.59883460942967,6534.1494906587795
60.0,6939898.272852356,3231145.900747307,2544943.3198358514,-1785.900876583113,-189.1697168720157,6515.010511918528
70.0,6921776.053903695,3229131.5796686485,2609995.7979754605,-1838.5053939708769,-213.68515021224184,6495.408105097279
80.0,6903128.919349459,3226872.386846209,2674849.9462301857,-1890.8835996601208,-238.14385301765375,6475.344987504573
90.0,6883959.14420396,3224368.895944122,2739501.171062722,-1943.0331185643474,-262.54455548441706,6454.823872558401
100.0,6864269.027101739,3221621.693266256,2803944.9060497354,-1994.9516016507187,-286.88599944022207,6433.847469606263
110.0,6844060.890039246,3218631.3776407777,2868176.6118403054,-2046.6367254969077,-311.16693816794,6412.418483755384
120.0,6823337.078120932,3215398.5603064843,2932191.7761127064,-2098.0861918511164,-335.3861362296569,6390.539615711807
130.0,6802099.959309739,3211923.864800886,2995985.9135296317,-2149.2977271952655,-359.54236929137664,6368.213561628488
140.0,6780351.924181925,3208207.926850041,3059554.565691937,-2200.2690823116736,-383.6344239483634,6345.44301296186
150.0,6758095.385686221,3204251.394260135,3122893.3010909962,-2250.998031852606,-407.66109755104674,6322.230656337178
160.0,6735332.778907261,3200054.926810796,3185997.715059748,-2301.482373913569,-431.6211980318033,6298.579173421968
170.0,6712066.560833277,3195619.1961501366,3248863.4297225224,-2351.71992960981,-455.51354373229987,6274.4912408080245
180.0,6688299.210128002,3190944.8856915236,3311486.093943727,-2401.7085426561907,-479.33696323174007,6249.969529901233
190.0,6664033.226906755,3186032.690512057,3373861.3832754707,-2451.446078950766,-503.0902951757603,6225.016706819529
200.0,6639271.132516685,3180883.3172527575,3435984.9999042046,-2500.9304261617053,-526.7723881062185,6199.635432298623
210.0,6614015.469321116,3175497.484020452,3497852.672596464,-2550.159493317616,-550.3821002920149,6173.8283616055605
220.0,6588268.800487976,3169875.9202913465,3559460.156643777,-2599.1312104017597,-573.9182995603392,6147.5981444595645
230.0,6562033.709782263,3164019.366816281,3620803.233806825,-2647.843527949795,-597.3798631293176,6120.947424960539
240.0,6535312.801362522,3157928.575527655,3681877.712258919,-2696.2944166510865,-620.765677441201,6093.878841524777
250.0,6508108.699581282,3151604.309448016,3742679.426528877,-2744.4818669535316,-644.0746379966826,6066.395026827919
260.0,6480424.048789433,3145047.342600299,3803204.237443357,-2792.403888672446,-667.3056491901698,6038.498607754846
270.0,6452261.51314449,3138258.4599197092,3863448.0320687294,-2840.0585106028334,-690.4576241460645,6010.1922053567105
280.0,6423623.776422722,3131238.457167236,3923406.723652554,-2887.443780135628,-713.5294845558734,5981.47843481447
