time,x,y,z,Vx,Vy,Vz
0.0,7037484.001334377,3238059.0179219963,2150724.1875025737,-1465.6576272424472,-40.958394892935985,6622.797609422496
10.0,7022557.870590876,3237525.3267424405,2216868.8819785896,-1519.533717561175,-65.77191041437047,6606.061690227419
20.0,7007094.027311048,3236743.740565771,2282843.833870807,-1573.1997107472687,-90.5371707086135,6588.849541738504
30.0,6991094.585132251,3235714.7486318094,2348644.2943539307,-1626.6530782706207,-115.25284033233082,6571.163857004354
40.0,6974561.682837613,3234438.853473109,2414265.5415184014,-1679.8913194314387,-139.9175961528144,6553.00732608892
50.0,6957497.484080008,3232916.5707927425,2479702.8803395214,-1732.9119609048407,-164.53012716921063,6534.382635867226
60.0,6939904.17711057,3231148.4293438736,2544951.6426445837,-1785.7125562885376,-189.08913433422504,6515.292469830683
70.0,6921783.974511713,3229134.9708111132,2610007.187078101,-1838.2906856536647,-213.59333037634653,6495.739507901831
80.0,6903139.112934635,3226876.7496936466,2674864.8990652305,-1890.6439550988252,-238.04143962263151,6475.726426258329
90.0,6883971.852841255,3224374.3331901315,2739520.190773482,-1942.7699963074022,-262.43219782208735,6455.255897166058
100.0,6864284.478250569,3221628.30108536,2803968.5010728035,-1994.6664661081925,-286.7643519696926,6434.330588821151
110.0,6844079.296489371,3218639.2456386746,2868205.29549413,-2046.331046039415,-311.03666013109046,6412.953165200814
120.0,6823358.637947335,3215407.771474137,2932226.0661864853,-2097.7614419161396,-335.2478912679897,6391.1262859227745
130.0,6802124.855836386,3211934.495472435,2996026.3318727193,-2148.9553834011845,-359.3968250643066,6368.8526061132125
140.0,6780380.325954358,3208220.046664528,3059601.637803966,-2199.9106235795216,-383.48225175307925,6346.134776283011
150.0,6758127.446452884,3204265.0661270185,3122947.5557129085,-2250.624938536234,-407.50297194418516,6322.975442212198
160.0,6735368.637609491,3200070.2068792395,3186059.6837659227,-2301.0961269380564,-431.45779645289105,6299.3772448424215
170.0,6712106.341603861,3195636.133782056,3248933.6465141918,-2351.322009618543,-455.3455461292627,6275.342820177322
180.0,6688343.022298221,3190963.5234383666,3311565.09484386,-2401.300429166883,-479.16505168846123,6250.874799190656
190.0,6664081.165021826,3186053.064095295,3373949.7059253035,-2451.0292495204094,-502.91515354195224,6225.975807742039
200.0,6639323.276359501,3180905.4555480694,3436083.183161603,-2500.506355560812,-526.5947016296504,6200.648466500179
210.0,6614071.883944204,3175521.409045573,3497961.2561362777,-2549.7296527140966,-550.2025552530246,6174.895390873446
220.0,6588329.53625356,3169901.6471975567,3559579.680560368,-2598.6970665543013,-573.737582909184,6148.719190947671
230.0,6562098.802410354,3164046.903883511,3620934.2382189273,-2647.406542411004,-597.1986621259675,6122.122471431035
