# Solar longitude: 30 degrees
# Comet distance: 10 km
longitude_deg,latitude_deg,dsmc_wind_m_s,computed_wind_z_m_s,difference_m_s,relative_error_percent
-19.800000,-4.000000,6.643000e+02,6.803255e+02,1.602547e+01,2.41
-12.200000,-0.400000,6.650000e+02,6.619359e+02,-3.064131e+00,-0.46
-13.900000,-0.400000,6.668000e+02,6.634454e+02,-3.354556e+00,-0.50
-5.900000,-5.000000,6.803000e+02,6.734138e+02,-6.886155e+00,-1.01
-17.700000,-7.100000,6.689000e+02,6.896314e+02,2.073135e+01,3.10
-14.800000,-0.400000,6.670000e+02,6.641662e+02,-2.833812e+00,-0.42
-11.800000,-11.300000,7.028000e+02,6.969004e+02,-5.899587e+00,-0.84
-18.200000,-2.300000,6.624000e+02,6.738274e+02,1.142739e+01,1.73
-10.000000,-6.100000,6.903000e+02,6.806265e+02,-9.673487e+00,-1.40
-15.900000,-1.100000,6.594000e+02,6.678837e+02,8.483706e+00,1.29
-19.600000,-2.100000,6.792000e+02,6.733053e+02,-5.894670e+00,-0.87
-12.900000,-11.000000,7.072000e+02,6.969577e+02,-1.024232e+01,-1.45
-13.100000,-13.400000,6.856000e+02,7.023863e+02,1.678634e+01,2.45
-11.200000,-2.800000,6.450000e+02,6.703873e+02,2.538727e+01,3.94
-14.800000,-1.100000,6.460000e+02,6.670933e+02,2.109330e+01,3.27
-8.300000,-3.200000,6.643000e+02,6.690154e+02,4.715425e+00,0.71
-0.400000,-0.400000,6.582000e+02,6.578731e+02,-3.269444e-01,-0.05
-23.300000,-0.500000,6.750000e+02,6.656292e+02,-9.370842e+00,-1.39
-4.600000,-2.700000,6.546000e+02,6.648067e+02,1.020669e+01,1.56
-22.100000,-2.600000,6.803000e+02,6.747970e+02,-5.502974e+00,-0.81
-20.500000,-0.900000,6.299000e+02,6.683806e+02,3.848059e+01,6.11
-14.700000,-13.600000,7.048000e+02,7.035219e+02,-1.278089e+00,-0.18
-19.800000,-2.200000,6.783000e+02,6.737048e+02,-4.595210e+00,-0.68
-20.900000,-2.700000,6.615000e+02,6.755332e+02,1.403316e+01,2.12
-1.900000,-1.400000,6.373000e+02,6.602892e+02,2.298915e+01,3.61
-9.200000,-0.500000,6.720000e+02,6.596104e+02,-1.238962e+01,-1.84
-7.400000,-4.200000,6.560000e+02,6.717808e+02,1.578080e+01,2.41
-18.000000,-1.300000,6.594000e+02,6.697629e+02,1.036294e+01,1.57
-18.900000,-0.500000,6.574000e+02,6.666145e+02,9.214506e+00,1.40
-21.900000,-1.700000,6.732000e+02,6.713537e+02,-1.846316e+00,-0.27
-13.100000,-1.500000,6.670000e+02,6.672480e+02,2.479899e-01,0.04
-17.100000,-1.500000,6.614000e+02,6.702097e+02,8.809669e+00,1.33
-15.900000,-0.400000,6.661000e+02,6.649354e+02,-1.164630e+00,-0.17
-13.800000,-1.600000,6.813000e+02,6.682821e+02,-1.301787e+01,-1.91
-8.400000,-3.900000,6.828000e+02,6.716056e+02,-1.119444e+01,-1.64
-5.900000,-1.800000,6.689000e+02,6.621775e+02,-6.722507e+00,-1.01
-7.000000,-1.800000,6.732000e+02,6.628512e+02,-1.034877e+01,-1.54
-9.400000,-3.600000,6.604000e+02,6.714931e+02,1.109312e+01,1.68
-8.700000,-1.900000,6.895000e+02,6.645795e+02,-2.492053e+01,-3.61
-12.700000,-15.800000,7.056000e+02,7.068738e+02,1.273776e+00,0.18
-12.200000,-14.600000,7.041000e+02,7.043610e+02,2.609683e-01,0.04
-15.000000,-9.500000,6.915000e+02,6.946827e+02,3.182656e+00,0.46
-22.300000,-0.900000,6.653000e+02,6.678801e+02,2.580140e+00,0.39
-12.700000,-10.000000,6.940000e+02,6.943595e+02,3.595326e-01,0.05
-18.100000,-5.100000,6.714000e+02,6.837289e+02,1.232890e+01,1.84
