time,0,1,2,3,4,5
0.0,6369513.451257666,-1249995.2041445253,3.974596309738511e-10,809.465960677556,4752.792675889872,6354.866748678335
1.0,6370318.26793386,-1245241.500812609,6354.864384165114,800.1671096852638,4754.612845590937,6354.860464788745
2.0,6371113.784915482,-1240485.9807387134,12709.717819619891,790.866574032382,4756.426159182959,6354.844851026223
3.0,6371900.000525377,-1235728.6507809418,19064.550975797087,781.5643687344381,4758.232612679156,6354.81990600334
4.0,6372676.9131014105,-1230969.5178013803,25419.354520747627,772.260508815018,4760.032202100849,6354.785628344695
5.0,6373444.5209964765,-1226208.5886660889,31774.11912115313,762.9550093057658,4761.824923477584,6354.742016687091
6.0,6374202.822578505,-1221445.8702450944,38128.83544233818,753.6478852463798,4763.610772847256,6354.6890696797
7.0,6374951.816230468,-1216681.3694123814,44483.49414828281,744.3391516846104,4765.3897462562245,6354.626785984238
8.0,6375691.5003503915,-1211915.093045884,50838.08590163508,735.0288236762544,4767.161839759436,6354.555164275133
9.0,6376421.87335136,-1207147.0480274768,57192.60136372392,725.7169162851495,4768.927049420518,6354.474203239661
10.0,6377142.933661525,-1202377.2412429666,63547.03119457171,716.4034445831738,4770.685371311182,6354.383901577077
11.0,6377854.679724116,-1197605.6795820852,69901.36605290508,707.0884236502603,4772.436801509723,6354.284257996481
12.0,6378557.109997445,-1192832.3699384832,76255.59659616454,697.7718685744107,4774.1813361008035,6354.1752712165
13.0,6379250.222954916,-1188057.3192097228,82609.71348051408,688.4537944517065,4775.918971175608,6354.056939965513
14.0,6379934.0170850335,-1183280.5342972719,88963.70736085103,679.1342163863177,4777.649702832002,6353.929262981885
15.0,6380608.490891411,-1178502.022106497,95317.56889081615,669.813149490511,4779.37352717469,6353.792239014189
16.0,6381273.642892778,-1173721.789546657,101671.28872280405,660.4906088846556,4781.0904403153745,6353.645866821439
17.0,6381929.471622987,-1168939.8435308945,108024.85750797357,651.1666096972278,4782.80043837291,6353.4901451733085
18.0,6382575.975631024,-1164156.1909762304,114378.26589625869,641.8411670648171,4784.5035174733675,6353.3250728502235
19.0,6383213.153481016,-1159370.838803556,120731.50453637878,632.5142961321513,4786.199673749337,6353.150648642372
20.0,6383841.003752239,-1154583.7939376272,127084.56407584791,623.1860120521253,4787.88890333939,6352.966871348933
21.0,6384459.525039125,-1149795.0633070578,133437.4351609839,613.8563299858135,4789.571202388203,6352.773739778262
22.0,6385068.715951272,-1145004.6538443144,139790.10843691762,604.5252651024798,4791.246567046744,6352.571252748155
23.0,6385668.575113451,-1140212.5724857089,146142.57454760256,595.1928325795855,4792.914993472445,6352.359409086102
24.0,6386259.101165614,-1135418.8261713926,152494.82413582466,585.8590476027954,4794.576477829386,6352.13820762955
25.0,6386840.2927629035,-1130623.4218453495,158846.84784321237,576.5239253659827,4796.231016288474,6351.907647226158
26.0,6387412.14857566,-1125826.3664553892,165198.63631024703,567.1874810712317,4797.878605027613,6351.66772673404
27.0,6387974.66728943,-1121027.6669531397,171550.18017627334,557.8497299288554,4799.519240231515,6351.418445021504
28.0,6388527.847604975,-1116227.3302940417,177901.47007950835,548.5106871574798,4801.152918090069,6351.159800964728
29.0,6389071.688238278,-1111425.3634373436,184252.49665704876,539.1703679841014,4802.77963479763,6350.891793446757
30.0,6389606.187920555,-1106621.7733460974,190603.2505448779,529.8287876441067,4804.399386553214,6350.614421357787
31.0,6390131.345398258,-1101816.5669871536,196953.72237787294,520.4859613812888,4806.012169560721,6350.327683595488
32.0,6390647.159433093,-1097009.7513311561,203303.90278981262,511.14190444786135,4807.617980029161,6350.031579065329
33.0,6391153.628802017,-1092201.3333525371,209653.7824133852,501.7966321044709,4809.216814172872,6349.7261066809
34.0,6391650.752297255,-1087391.320029512,216003.3518801967,492.4501596202066,4810.808668211744,6349.411265364228
35.0,6392138.528726303,-1082579.7183440735,222352.6018207795,483.10250227260826,4812.393538371436,6349.087054046092
36.0,6392616.956911941,-1077766.5352819853,228701.5228646012,473.7536753476993,4813.971420883159,6348.75347166572
37.0,6393086.035692237,-1072951.7778327784,235050.1056400716,464.40369414013196,4815.542311981721,6348.410517168024
38.0,6393545.763920561,-1068135.4529897473,241398.3407745477,455.05257395328033,4817.106207904667,6348.05818950239
39.0,6393996.140465588,-1063317.5677499475,247746.2188943382,445.7003300992676,4818.663104892522,6347.696487623031
40.0,6394437.164211311,-1058498.129114193,254093.73062470873,436.34697789898865,4820.212999189068,6347.325410489395
41.0,6394868.834057048,-1053677.144087051,260440.866589887,426.9925326821297,4821.7558870416215,6346.94495706656
42.0,6395291.14891745,-1048854.6196768407,266787.6174130689,417.6370097871856,4823.291764701308,6346.555126325641
43.0,6395704.1077225115,-1044030.5628956278,273133.9737164245,408.2804245614741,4824.82062842334,6346.155917244182
44.0,6396107.709417581,-1039204.9807592203,279479.9261211049,398.9227923611479,4826.342474467285,6345.74732880655
45.0,6396501.952963363,-1034377.8802871647,285825.46524724906,389.56412855121835,4827.8572990971625,6345.32936000408
46.0,6396886.837335938,-1029549.2685027418,292170.58171398996,380.2044485057043,4829.365098579993,6344.902009833027
47.0,6397262.3615267575,-1024719.1524329643,298515.26613945846,370.8437676077808,4830.865869184523,6344.465277292782
48.0,6397628.524542666,-1019887.5391085754,304859.5091407865,361.48210124981387,4832.359607181427,6344.01916138617
49.0,6397985.325405904,-1015054.4355640465,311203.30133411067,352.119464833382,4833.846308843636,6343.563661119923
50.0,6398332.763154117,-1010219.8488375747,317546.63333457656,342.75587376929514,4835.325970446664,6343.098775505159
51.0,6398670.836840367,-1005383.7859710803,323889.4957563432,333.3913434776101,4836.7985882689345,6342.624503557848
52.0,6398999.545533139,-1000546.2540102034,330231.8792125882,324.02588938764325,4838.264158592103,6342.140844299279
53.0,6399318.888316355,-995707.2600043009,336573.7743155134,314.65952693797993,4839.7226777013775,6341.647796756523
54.0,6399628.864289377,-990866.8110064424,342915.17167635064,305.2922715764839,4841.174141885812,6341.145359962854
55.0,6399929.472567022,-986024.9140734071,349256.0619053679,295.92413876045276,4842.618547437103,6340.633532956067
56.0,6400220.712279568,-981181.5762656827,355596.4356118704,286.55514395709855,4844.0558906453,6340.112314772451
57.0,6400502.582572767,-976336.8046474685,361936.2834041981,277.1853026437344,4845.486167797758,6339.5817044453415
58.0,6400775.082607849,-971490.6062866775,368275.5958897234,267.8146303078169,4846.909375179571,6339.041701005747
59.0,6401038.21156154,-966642.9882549386,374614.3636748484,258.44314244698154,4848.32550907402,6338.492303483009
60.0,6401291.96862607,-961793.9576275981,380952.5773650043,249.07085456907419,4849.734565763028,6337.933510905449
61.0,6401536.353009178,-956943.5214837209,387290.2275646502,239.69778219217847,4851.136541527595,6337.36532230102
62.0,6401771.36393413,-952091.686906091,393627.3048772733,230.3239408446388,4852.531432648252,6336.787736697944
63.0,6401997.000639724,-947238.4609812123,399963.7999053894,220.94934606507957,4853.919235405497,6336.20075312535
64.0,6402213.262380299,-942383.8507993077,406299.70325054415,211.57401340242015,4855.299946080231,6335.604370613908
65.0,6402420.148425753,-937527.863454319,412635.005513315,202.1979584158848,4856.673560954219,6334.998588196484
66.0,6402617.658061546,-932670.5060439054,418969.69729331345,192.8211966750077,4858.040076310568,6334.383404908829
67.0,6402805.790588712,-927811.7856694423,425303.7691891887,183.44374375963565,4859.399488434163,6333.758819790208
68.0,6402984.545323871,-922951.7094360191,431637.2117986311,174.06561525992785,4860.7517936120885,6333.124831884001
69.0,6403153.921599237,-918090.2844524368,437970.0157183767,164.68682677635184,4862.09698813405,6332.4814402383045
70.0,6403313.918762633,-913227.5178312055,444302.1715442121,155.30739391967558,4863.435068292787,6331.828643906526
